"G0023500","G0085900","H0001900","H0002700","R0000100","R0001900","R0002100","R0002400","R0006500","R0009300","R0009400","R0017300","R0173600","R0214700","R0214800","R0215300","R0215301","R0220200","R0304410","R0305700","R0305800","R0307100","R0312300","R0312710","R0329800","R0329900","R0330000","R0330100","R0330200","R0393510","R0393520","R0402800","R0405210","R0405601","R0405700","R0406010","R0406511","R0406700","R0406701","R0407300","R0481600","R0481700","R0618301","R0645800","R0645801","R0655900","R0780400","R0897300","R0897301","R0988000","R1020700","R1021700","R1145800","R1146100","R1521000","R1521300","R1891700","R1892000","R2258800","R2259100","R2350010","R2446200","R2446500","R2716700","R2716800","R2718700","R2718800","R2718900","R2719000","R2719100","R2719200","R2720800","R2721000","R2721100","R2721200","R2721400","R2721500","R2722501","R2724701","R2743300","R2870110","R2870200","R2870800","R2870900","R2871300","R2871301","R2871400","R2872000","R2872300","R2872700","R2872800","R2877600","R3895400","R3914300"
-4,-4,1,0,3557,11,1,1,-3,2,20,11,5,3,2,12,10,18,19,0,0,0,250,-4,1,1,-4,-4,-4,1,1,-4,4,0,2,18600,0,44,0,660,506,150,34815,39,0,5,6,52,0,-4,21,16,47,0,51,0,52,0,56,0,23,61,0,0,2,1,14,96,1,13,96,3,6,-4,0,-4,-4,26230,7102,0,2,33332,2,2,27,1,2391,65,0,1,2,0,2,-4
-4,-4,1,0,3558,11,1,1,14,3,20,9,5,3,2,0,100,17,18,0,0,0,-4,-4,1,1,2,-4,-4,1,1,-4,4,0,2,18600,0,12,0,288,506,113,72743,54,0,4,2,52,0,-4,18,17,46,0,53,0,52,0,57,0,23,58,0,2,4,1,13,96,1,14,96,3,3,-4,0,-4,-4,12000,23000,0,3,35330,2,2,25,1,1330,56,0,1,1,1,0,-4
-4,-4,1,1,3559,11,1,1,9,3,27,12,1,3,1,2,0,19,-3,-1,0,0,1633,-4,1,1,2,-4,-4,1,1,-4,4,0,2,-3,0,12,0,108,507,145,83662,6,48,3,6,37,1,20,-4,16,53,0,51,0,53,0,59,0,20,58,0,4,6,1,1,24,0,-4,-4,4,6,-4,0,-4,-4,15000,-4,0,2,-2,2,1,28,1,2238,77,0,1,1,0,1,-4
700,-4,1,1,3560,11,1,1,9,4,29,9,5,3,2,-4,-4,16,17,3,0,0,-4,-4,1,1,2,-4,-4,1,1,-4,4,0,2,-3,0,0,0,-4,502,105,80612,0,0,5,3,6,0,-4,15,18,43,0,52,0,53,0,58,0,20,57,0,1,27,1,1,15,1,21,3,4,7,-4,0,-4,-4,13000,-4,0,2,14680,2,3,25,1,2352,77,0,1,1,1,0,-4
-4,-4,1,0,3561,15,-4,0,12,4,29,-3,1,3,1,-4,-4,15,16,5,-1,0,-4,-4,1,-4,2,-4,-4,1,1,-4,3,0,2,9600,0,-4,-4,-4,509,170,4231,0,-4,1,-4,3,0,-4,-4,0,12,0,5,0,28,0,48,0,17,50,0,3,4,1,3,13,0,-4,-4,4,3,-4,1,6,-4,9000,-4,2,2,24000,2,1,24,1,2500,76,0,1,1,0,1,-4
-4,-4,1,1,3562,11,0,1,10,4,30,12,2,3,1,53,0,21,17,5,0,1,12000,-4,1,1,2,-4,-4,1,1,-4,6,0,2,11000,0,41,0,2576,602,210,16231,7,0,2,6,0,0,17,-4,17,28,0,5,0,49,0,31,0,18,62,0,3,14,1,9,96,1,7,18,2,4,-4,0,-4,-4,15965,-4,1,2,15965,2,1,29,1,2420,67,0,0,2,1,0,14
-4,-4,1,1,3563,11,0,1,10,5,30,11,2,3,1,0,0,20,21,0,0,0,3200,-4,1,1,2,3,-4,1,1,-4,7,0,2,11000,1,23,0,800,510,175,25734,53,0,3,2,52,0,18,-4,18,36,0,53,0,52,0,50,0,21,61,0,0,2,1,7,18,1,5,18,0,-4,-4,0,-4,-4,25740,3074,1,4,28814,2,2,28,1,2216,68,0,1,1,2,0,-4
-4,-4,1,1,3564,51,0,-4,10,6,30,-3,6,3,2,57,0,18,24,3,0,0,2000,-2,0,-4,-4,-4,-4,1,1,11,2,1,2,-3,1,53,0,-3,506,155,12964,35,0,2,6,53,0,-4,17,18,50,0,57,0,49,0,56,0,23,48,0,-4,-4,1,5,18,1,9,96,4,6,-4,4,6,-4,300,-2,1,2,-2,2,3,27,1,705,9,0,1,2,1,2,16
-4,-4,1,0,3565,11,0,1,12,4,26,12,5,3,2,56,0,22,24,0,0,0,7000,-4,1,-4,2,-4,-4,1,1,11,1,3,2,9430,1,50,0,2127,503,125,84823,53,0,3,0,52,0,-4,17,23,51,0,45,0,58,0,44,0,20,57,0,0,1,1,1,18,1,7,7,1,7,-4,0,-4,-4,16200,16500,1,4,32700,2,2,31,1,2080,71,0,0,2,2,0,15
-4,-4,1,1,3566,11,0,1,12,5,30,12,5,3,2,63,0,21,20,0,0,0,7000,14000,0,-4,-4,-4,-4,1,2,11,2,1,2,22040,1,49,0,-3,503,125,46411,45,0,2,0,4,0,-4,18,18,32,0,27,0,10,0,11,0,20,6,0,-4,-4,1,1,4,1,5,0,0,-4,-4,0,-4,-4,0,17000,0,5,22400,2,2,30,0,0,0,0,1,1,3,0,-4
